title,description,,hour_morning,hour_noon,hour_afternoon,hour_evening,wakeup,male,female,caffeine,mood_tired,mood_energized,mood_Stress,mood_happy,mood_relaxed,pain_headache,pain_belly,pain_fever,pain_throat,pain_muscles,yourday_tranquil,yourday_physical,yourday_emotional,weather_rain,weather_cold,weather_cool,weather_warm,weather_hot,image_url,wikilink,buylink
Liquorice,"Digestion, warming",,2,7,6,8,2,5,5,0,6,3,,5,3,2,7,,2,3,6,2,2,6,7,,,2,http://osrgomer.aljezur.com/blog/wp-content/uploads/2023/03/image-150x150.webp,Liquorice - Wikipedia,Comprar Chá de Alcaçuz 17 saquetas de infusão Yogi Tea | Naturitas
Ginger Turmeric,"Strong, energizing",,7,4,4,2,5,2,2,1,7,3,,5,3,2,2,,2,4,5,6,4,8,8,,,2,http://osrgomer.aljezur.com/blog/wp-content/uploads/2023/03/download-1-e1679661811334-150x150.jpeg,,"Comprar Energia Detox 21,6 g Yogi | Naturitas"
Green Tea,"Strong, focusing",,7,7,4,3,7,5,5,1,7,3,,6,3,2,6,,2,3,4,7,8,6,5,,,6,http://osrgomer.aljezur.com/blog/wp-content/uploads/2023/03/green-tea-wight-loss-1643990040-150x150.jpeg,,"Chá Verde, Gengibre e Limão - 17 saquetas de infusão"
Black Tea,"Strong, awakening",,7,6,2,2,8,5,5,1,8,4,,5,5,8,2,,6,2,5,7,3,7,7,,,4,http://osrgomer.aljezur.com/blog/wp-content/uploads/2023/03/cup-black-strong-tea-23863320-e1678801370327-150x150.jpeg,,Comprar Chá Preto 100 g Plameca | Naturitas
Chamomile Tea,Calming,,4,6,7,8,3,5,5,0,3,3,,6,7,2,8,,3,8,7,2,7,5,5,,,7,http://osrgomer.aljezur.com/blog/wp-content/uploads/2023/03/Chamomile-for-website-150x150.jpeg,,Comprar Chá de camomila orgânico com anis 20 saquetas de infusão Artemis | Naturitas
Luisa Tea,Refreshing,,3,6,7,7,3,4,7,0,5,6,,7,7,2,5,,3,5,7,5,8,5,5,,,7,http://osrgomer.aljezur.com/blog/wp-content/uploads/2023/03/images-2-150x150.jpeg,,Comprar Chá Mulher Equilíbrio 17 saquetas de infusão Yogi Tea | Naturitas
Peppermint Tea,"Cooling, uplifting, digestion",,3,7,6,5,3,5,5,0,6,7,,7,7,2,6,,6,6,7,5,6,2,2,,,8,http://osrgomer.aljezur.com/blog/wp-content/uploads/2023/03/mint-tea-150x150.jpeg,,Chá Hortelã-Pimenta | Celeiro
hibiscus tea,"decrease body temperature treat heart disease, and sooth a sore throat",,5,6,7,7,5,5,5,0,3,6,,6,5,7,6,,9,5,5,7,6,8,6,,,8,http://osrgomer.aljezur.com/blog/wp-content/uploads/2023/03/Hibiscus-Tea-Main1-150x150.jpeg,,Comprar Ayurvedic Herbal Tea Sweet Hibiscus and Mint - Emotional Detox 16 saquetas de infusão de 2g Haris Treasures | Naturitas
Rooibos Tea,"help protect against the free radical damage that leads to conditions like diabetes, heart disease and potentially cancer",,7,7,6,5,7,5,5,0,7,5,,5,5,6,6,,5,5,7,6,7,5,6,,,7,http://osrgomer.aljezur.com/blog/wp-content/uploads/2023/03/13308_Rooibos-02_1024x1024-150x150.webp,,Comprar Infusões Chá Roibos 20 saquetas de infusão Fitosol | Naturitas
Matcha Tea,"helping to prevent heart disease, type 2 diabetes and cancer, and even encouraging weight loss",,8,4,8,4,9,5,5,1,9,4,,5,5,4,4,,4,4,7,9,8,5,5,,,7,http://osrgomer.aljezur.com/blog/wp-content/uploads/2023/03/matcha-tea-latte-1296x728-1296x728-1-150x150.webp,,Matcha tea
Lavender Tea,"promote sleep, skin health, boost mood, and soothe anxiety",,5,7,8,9,5,5,8,0,6,7,,8,9,4,5,,3,5,9,7,9,5,5,,,8,http://osrgomer.aljezur.com/blog/wp-content/uploads/2023/03/lavender-tea-natural-2-150x150.jpeg,,Lavender Tea
Echinacea Tea,"Boost immunity, manage inflammation, support respiratory health, and soothe cold and flu symptoms",,7,8,8,8,7,5,5,0,1,7,6,8,6,3,4,7,7,5,7,5,6,9,9,9,8,7,,Echinacea - Wikipedia,Yogi Tea - Infusão Equinácea
Oolong Tea,"Aid metabolism, support gut health, boost mental alertness, and promote healthy teeth and bones",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Chá oolong azul orgânico a granel
Lemon Balm Tea,"Soothe digestion, reduce tension, promote relaxation, and enhance cognitive function",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,Lemon Balm - Soalheiro
Sage Tea,"Support memory, ease menopausal symptoms, soothe a sore throat, and manage excess sweating",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,Teja Organics Sage Tea
Rosehip Tea,"Boost collagen production, enhance immune defense, reduce joint discomfort, and support radiant skin",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,Rosehip Tea - Certified Organic
Nettle Tea,"Cleanse the blood, support kidney function, ease seasonal allergies, and promote strong hair and nails",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,"Heath & Heather Nettle Tea Bags (Pack of 6, Total 120)"
